Date,Open,High,Low,Close,Adj Close,Volume
2019-01-07,5403.000000,5482.000000,5335.000000,5370.000000,5330.764160,6878000
2019-01-08,5395.000000,5408.000000,5310.000000,5376.000000,5336.719727,5764200
2019-01-09,5439.000000,5465.000000,5373.000000,5413.000000,5373.449707,5033800
2019-01-10,5349.000000,5385.000000,5223.000000,5246.000000,5207.669922,6571100
2019-01-11,5287.000000,5342.000000,5280.000000,5320.000000,5281.129395,5670700
2019-01-15,5392.000000,5458.000000,5300.000000,5447.000000,5407.201172,7343800
2019-01-16,5472.000000,5480.000000,5317.000000,5356.000000,5316.866211,4434800
2019-01-17,5392.000000,5410.000000,5340.000000,5366.000000,5326.792969,3914600
2019-01-18,5367.000000,5435.000000,5355.000000,5429.000000,5389.332520,3983700
2019-01-21,5509.000000,5522.000000,5416.000000,5436.000000,5396.281738,3491800
2019-01-22,5421.000000,5429.000000,5330.000000,5352.000000,5312.895508,3784800
2019-01-23,5351.000000,5388.000000,5290.000000,5349.000000,5309.917480,3909600
2019-01-24,5242.000000,5283.000000,5215.000000,5259.000000,5220.575195,5336500
2019-01-25,5283.000000,5373.000000,5283.000000,5324.000000,5285.100098,6737000
2019-01-28,5361.000000,5404.000000,5324.000000,5373.000000,5333.741699,4011500
2019-01-29,5340.000000,5378.000000,5281.000000,5349.000000,5309.917480,4300900
2019-01-30,5321.000000,5330.000000,5280.000000,5281.000000,5242.414551,4806800
2019-01-31,5399.000000,5467.000000,5388.000000,5467.000000,5427.055176,6314000
2019-02-01,5500.000000,5568.000000,5458.000000,5499.000000,5458.821289,6193600
2019-02-04,5099.000000,5117.000000,5011.000000,5055.000000,5018.065430,21628000
2019-02-05,5099.000000,5143.000000,5002.000000,5037.000000,5000.197266,11266200
2019-02-06,5039.000000,5051.000000,4828.000000,4839.000000,4803.643555,19028100
2019-02-07,4775.000000,4822.000000,4704.000000,4713.000000,4678.563965,13001700
2019-02-08,4919.000000,5030.000000,4900.000000,4906.000000,4870.154297,18692900
2019-02-12,4949.000000,4959.000000,4818.000000,4854.000000,4818.533691,13583000
